Meal,Insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
0,25.04,100,1.39641947069234,4.73568342234795,1.2498428210975,1.25866205001017,0.0102538908873116,160.033353798759,161.278236322694,156
0,25.04,100,1.36670841812442,4.66463525316378,1.24975972565222,1.25847440684182,0.01025326836752,159.768573665705,161.029259817907,157
0,25.04,100,1.33762951561114,4.59446659709912,1.24967832603235,1.2582889880931,0.0102526363353957,159.501215581379,160.777122587466,158
0,25.04,100,1.30916931315132,4.52517219111001,1.24959858762921,1.25810578251734,0.0102519950827582,159.231386800267,160.521941186249,159
0,25.04,100,1.28131464691406,4.45674659796195,1.24952047654042,1.25792477837079,0.0102513448973679,158.959192739732,160.263830309053,160
0,25.04,100,1.25405263314993,4.38918421602477,1.24944395955549,1.25774596343823,0.0102506860629267,158.684736989331,160.002902795189,161
0,25.04,100,1.22737066223185,4.32247928872956,1.24936900414167,1.25756932505774,0.0102500188590805,158.408121320855,159.739269634017,162
0,25.04,100,1.20125639282266,4.25662591369769,1.24929557843018,1.25739485014463,0.0102493435614237,158.129445699031,159.473039971385,163
0,25.04,100,1.17569774616686,4.19161805155141,1.2492236512026,1.25722252521454,0.010248660441506,157.848808292868,159.204321116914,164
0,25.04,100,1.15068290050373,4.12744953441557,1.24915319187762,1.25705233640578,0.010247969766841,157.566305487606,158.933218552105,165
0,25.04,100,1.1262002855994,4.06411407411958,1.24908417049805,1.25688426950092,0.0102472718009163,157.282031897226,158.659835939205,166
0,25.04,100,1.10223857739516,4.00160527010851,1.24901655771806,1.25671830994767,0.0102465668032059,156.996080377494,158.384275130809,167
0,25.04,100,1.07878669276973,3.93991661707205,1.24895032479072,1.25655444287895,0.010245855029184,156.70854203951,158.106636180146,168
0,25.04,100,1.05583378441293,3.87904151229966,1.24888544355578,1.25639265313239,0.0102451367303403,156.419506263725,157.827017352019,169
0,25.04,100,1.0333692358084,3.81897326277016,1.24882188642768,1.25623292526906,0.0102444121541966,156.129060714396,157.54551513436,170
0,25.04,100,1.01138265632311,3.75970509198374,1.24875962638382,1.25607524359159,0.0102436815443257,155.837291354455,157.262224250367,171
0,25.04,100,0.989863876401342,3.70123014654415,1.2486986369531,1.25591959216163,0.0102429451403707,155.544282460763,156.977237671185,172
0,25.04,100,0.968802942860888,3.64354150249856,1.24863889220464,1.25576595481677,0.0102422031780657,155.25011663972,156.6906466291,173
0,25.04,100,0.94819011428938,3.58663217144244,1.24858036673676,1.25561431518673,0.0102414558892588,154.954874843203,156.402540631224,174
0,25.04,100,0.928015856538542,3.53049510639663,1.24852303566619,1.25546465670907,0.0102407035019346,154.658636384821,156.11300747362,175
0,25.04,100,0.908270838314318,3.47512320746348,1.24846687461746,1.25531696264432,0.0102399462402391,154.361478956442,155.82213325586,176
0,25.04,100,0.888945926860822,3.42050932726881,1.24841185971259,1.25517121609056,0.0102391843245052,154.063478644993,155.530002395977,177
0,25.04,100,0.870032183736123,3.3666462761963,1.24835796756087,1.25502739999741,0.010238417971279,153.764709949486,155.23669764578,178
0,25.04,100,0.851520860677908,3.31352682742055,1.24830517524899,1.25488549717961,0.0102376473933472,153.465245798273,154.942300106521,179
0,25.04,100,0.833403395557101,3.26114372174518,1.24825346033123,1.25474549033003,0.0102368727997656,153.165157566494,154.646889244871,180
